algorithm,initial_steps,final_steps,total_reward,average_reward,average_loss,num_episodes,max_steps
DDDQL,1020000,1030000,121907,12.19,7.3721,75,344
DDDQL,1030000,1040000,126083,12.61,7.2944,79,312
DDDQL,1040000,1050000,130431,13.04,7.0399,78,291
DDDQL,1050000,1060000,105837,10.58,7.1996,68,392
DDDQL,1060000,1070000,124238,12.42,7.2333,74,262
DDDQL,1070000,1080000,124708,12.47,7.3355,77,303
DDDQL,1080000,1090000,125643,12.56,7.2683,77,321
DDDQL,1090000,1100000,119976,12.0,7.2221,75,418
DDDQL,1100000,1110000,119219,11.92,7.2312,74,295
DDDQL,1110000,1120000,121576,12.16,7.225,73,267
DDDQL,1120000,1130000,122675,12.27,7.0231,74,286
DDDQL,1130000,1140000,135514,13.55,6.9231,80,294
DDDQL,1140000,1150000,121283,12.13,6.93,73,352
DDDQL,1150000,1160000,126278,12.63,6.848,75,291
DDDQL,1160000,1170000,134689,13.47,6.8403,79,208
DDDQL,1170000,1180000,132033,13.2,7.0651,79,279
DDDQL,1180000,1190000,126014,12.6,7.1867,77,313
DDDQL,1190000,1200000,137470,13.75,7.0936,79,249
DDDQL,1200000,1210000,107507,10.75,7.0213,70,377
DDDQL,1210000,1220000,122602,12.26,6.9282,76,275
DDDQL,1220000,1230000,130311,13.03,6.9228,77,343
DDDQL,1230000,1240000,129907,12.99,6.8039,77,254
DDDQL,1240000,1250000,113668,11.37,6.7894,69,520
DDDQL,1250000,1260000,122569,12.26,6.8518,75,461
DDDQL,1260000,1270000,126922,12.69,6.962,76,320
DDDQL,1270000,1280000,133483,13.35,6.8652,77,273
DDDQL,1280000,1290000,127284,12.73,6.8411,77,274
DDDQL,1290000,1300000,127186,12.72,6.9715,77,252
DDDQL,1300000,1310000,136090,13.61,6.9699,81,222
DDDQL,1310000,1320000,137197,13.72,6.8375,80,238
DDDQL,1320000,1330000,134712,13.47,6.6847,78,398
DDDQL,1330000,1340000,137720,13.77,6.8275,80,230
DDDQL,1340000,1350000,122897,12.29,6.8928,77,378
DDDQL,1350000,1360000,131591,13.16,6.7079,78,275
DDDQL,1360000,1370000,140838,14.08,6.9005,82,283
DDDQL,1370000,1380000,146728,14.67,6.8464,85,316
DDDQL,1380000,1390000,136425,13.64,6.8713,78,320
DDDQL,1390000,1400000,134911,13.49,6.7466,79,319
DDDQL,1400000,1410000,132254,13.23,6.7238,78,257
DDDQL,1410000,1420000,134507,13.45,6.7863,79,263
DDDQL,1420000,1430000,122372,12.24,6.5493,73,265
DDDQL,1430000,1440000,131045,13.1,6.5527,77,321
DDDQL,1440000,1450000,123733,12.37,6.6819,75,368
DDDQL,1450000,1460000,129291,12.93,6.5101,77,360
DDDQL,1460000,1470000,136616,13.66,6.7679,79,277
DDDQL,1470000,1480000,135611,13.56,6.9369,80,315
DDDQL,1480000,1490000,131472,13.15,6.8241,77,244
DDDQL,1490000,1500000,133250,13.32,6.8765,78,265
DDDQL,1500000,1510000,128325,12.83,6.7791,76,337
DDDQL,1510000,1520000,127162,12.72,6.6179,75,279
DDDQL,1520000,1530000,137786,13.78,6.5879,80,466
DDDQL,1530000,1540000,139352,13.94,6.9025,82,319
DDDQL,1540000,1550000,122794,12.28,6.8408,73,470
DDDQL,1550000,1560000,113558,11.36,6.9084,72,379
DDDQL,1560000,1570000,141819,14.18,6.7941,83,274
DDDQL,1570000,1580000,121478,12.15,6.6425,72,281
DDDQL,1580000,1590000,128171,12.82,6.5755,76,394
DDDQL,1590000,1600000,125895,12.59,6.4647,74,345
DDDQL,1600000,1610000,124814,12.48,6.5751,77,242
DDDQL,1610000,1620000,142217,14.22,6.6177,84,242
DDDQL,1620000,1630000,133571,13.36,6.4364,79,294
DDDQL,1630000,1640000,120486,12.05,6.1757,74,361
DDDQL,1640000,1650000,121713,12.17,6.5811,73,286
DDDQL,1650000,1660000,129800,12.98,6.6974,77,318
DDDQL,1660000,1670000,125080,12.51,6.8937,74,283
DDDQL,1670000,1680000,128189,12.82,6.753,77,252
DDDQL,1680000,1690000,142657,14.27,6.6094,81,275
DDDQL,1690000,1700000,125654,12.57,6.3505,75,473
DDDQL,1700000,1710000,136927,13.69,6.2972,79,343
DDDQL,1710000,1720000,115148,11.51,6.0101,70,397
DDDQL,1720000,1730000,125853,12.59,6.2445,75,250
DDDQL,1730000,1740000,135217,13.52,6.1047,77,326
DDDQL,1740000,1750000,123315,12.33,6.1173,74,591
DDDQL,1750000,1760000,131582,13.16,6.4112,77,303
DDDQL,1760000,1770000,123402,12.34,6.4474,74,420
DDDQL,1770000,1780000,118490,11.85,6.6325,71,1000
DDDQL,1780000,1790000,133593,13.36,6.6042,76,392
DDDQL,1790000,1800000,128430,12.84,6.6985,76,312
DDDQL,1800000,1810000,143913,14.39,6.4775,82,249
DDDQL,1810000,1820000,129281,12.93,6.2518,76,331
DDDQL,1820000,1830000,134114,13.41,6.3138,77,278
DDDQL,1830000,1840000,135980,13.6,6.1617,78,320
DDDQL,1840000,1850000,147182,14.72,6.1596,81,266
DDDQL,1850000,1860000,145931,14.59,6.0163,83,252
DDDQL,1860000,1870000,135549,13.55,6.0181,78,350
DDDQL,1870000,1880000,138298,13.83,5.816,81,314
DDDQL,1880000,1890000,133606,13.36,5.6156,77,363
DDDQL,1890000,1900000,144259,14.43,6.2302,82,371
DDDQL,1900000,1910000,157971,15.8,6.1133,86,261
DDDQL,1910000,1920000,135472,13.55,5.6288,76,279
DDDQL,1920000,1930000,133578,13.36,5.7783,75,408
DDDQL,1930000,1940000,127443,12.74,6.0267,72,373
DDDQL,1940000,1950000,141056,14.11,6.1813,81,321
DDDQL,1950000,1960000,126939,12.69,6.1994,73,448
DDDQL,1960000,1970000,146816,14.68,6.2467,81,282
DDDQL,1970000,1980000,141712,14.17,6.0577,78,355
DDDQL,1980000,1990000,150336,15.03,6.1494,84,341
DDDQL,1990000,2000000,139405,13.94,6.2208,79,278
DDDQL,2000000,2010000,128741,12.87,5.9945,75,619
DDDQL,2010000,2020000,142433,14.24,6.1645,81,295
DDDQL,2020000,2030000,135347,13.53,6.1279,77,345
DDDQL,2030000,2040000,133256,13.33,6.0519,76,277
DDDQL,2040000,2050000,154597,15.46,6.0913,84,367
DDDQL,2050000,2060000,143653,14.37,6.2077,80,341
DDDQL,2060000,2070000,139365,13.94,5.8072,79,382
DDDQL,2070000,2080000,128145,12.81,5.8926,74,442
DDDQL,2080000,2090000,146180,14.62,5.7902,81,236
DDDQL,2090000,2100000,136569,13.66,5.9149,79,339
DDDQL,2100000,2110000,132921,13.29,5.7957,77,409
DDDQL,2110000,2120000,134691,13.47,5.7398,77,396
DDDQL,2120000,2130000,146553,14.66,6.2355,82,276
DDDQL,2130000,2140000,149044,14.9,5.8441,83,246
DDDQL,2140000,2150000,142378,14.24,5.9811,80,358
DDDQL,2150000,2160000,151542,15.15,6.2543,84,259
DDDQL,2160000,2170000,135262,13.53,5.5875,77,280
DDDQL,2170000,2180000,146332,14.63,5.7853,81,371
DDDQL,2180000,2190000,138103,13.81,5.7297,78,409
DDDQL,2190000,2200000,144465,14.45,5.9252,79,408
DDDQL,2200000,2210000,138077,13.81,5.8449,77,400
DDDQL,2210000,2220000,145114,14.51,6.1458,81,284
DDDQL,2220000,2230000,134318,13.43,6.1089,77,373
DDDQL,2230000,2240000,147953,14.8,5.8041,83,248
DDDQL,2240000,2250000,143507,14.35,5.6514,81,301
DDDQL,2250000,2260000,163940,16.39,5.7866,88,202
DDDQL,2260000,2270000,151722,15.17,5.6592,83,298
DDDQL,2270000,2280000,137933,13.79,5.6012,78,320
DDDQL,2280000,2290000,147433,14.74,5.4747,82,381
DDDQL,2290000,2300000,156208,15.62,5.5311,85,218
DDDQL,2300000,2310000,147434,14.74,5.9486,82,358
DDDQL,2310000,2320000,149052,14.91,5.4066,83,364
DDDQL,2320000,2330000,147938,14.79,5.4278,83,276
DDDQL,2330000,2340000,142634,14.26,5.5644,79,311
DDDQL,2340000,2350000,141007,14.1,5.6291,79,279
DDDQL,2350000,2360000,135383,13.54,5.9515,76,379
DDDQL,2360000,2370000,146177,14.62,6.1389,82,238
DDDQL,2370000,2380000,129237,12.92,5.7898,75,296
DDDQL,2380000,2390000,153752,15.38,5.8078,84,237
DDDQL,2390000,2400000,125930,12.59,5.7098,72,415
DDDQL,2400000,2410000,151045,15.1,5.9052,83,352
DDDQL,2410000,2420000,147983,14.8,5.5933,81,255
DDDQL,2420000,2430000,141446,14.14,5.6175,79,306
DDDQL,2430000,2440000,157061,15.71,5.6519,86,264
DDDQL,2440000,2450000,133656,13.37,5.5658,76,266
DDDQL,2450000,2460000,142828,14.28,5.5476,80,282
DDDQL,2460000,2470000,136306,13.63,5.5307,78,760
DDDQL,2470000,2480000,143035,14.3,5.7591,80,429
DDDQL,2480000,2490000,143172,14.32,6.1625,79,327
DDDQL,2490000,2500000,145077,14.51,6.0061,81,243
DDDQL,2500000,2510000,150194,15.02,5.9711,83,266
DDDQL,2510000,2520000,143735,14.37,5.5788,80,287
DDDQL,2520000,2530000,149524,14.95,5.4804,81,292
DDDQL,2530000,2540000,148371,14.84,5.5041,81,286
DDDQL,2540000,2550000,159158,15.92,5.5519,86,233
DDDQL,2550000,2560000,139982,14.0,5.2145,78,304
DDDQL,2560000,2570000,145111,14.51,5.2978,81,270
DDDQL,2570000,2580000,142703,14.27,5.3941,81,258
DDDQL,2580000,2590000,149723,14.97,5.4719,83,246
